TimeStamp,Origin,Trip,Destination,ScheduledTime,Lateness,Track,Status
1380810760,"North Station","317","Lowell",1380813000,0,,"On Time"
1380810760,"North Station","421","Fitchburg",1380813600,0,,"On Time"
1380810760,"North Station","165","Newburyport",1380813600,0,,"On Time"
1380810760,"North Station","319","Lowell",1380816600,0,,"On Time"
1380810760,"North Station","117","Rockport",1380817200,0,,"On Time"
1380810760,"North Station","215","Andover",1380817200,0,,"On Time"
1380810760,"North Station","217","Haverhill",1380820200,0,,"On Time"
1380810760,"North Station","321","Lowell",1380820200,0,,"On Time"
1380810760,"North Station","423","Fitchburg",1380820500,0,,"On Time"
1380810760,"North Station","169","Newburyport",1380820800,0,,"On Time"
1380810760,"North Station","323","Lowell",1380823800,0,,"On Time"
1380810760,"North Station","125","Rockport",1380824400,0,,"On Time"
1380810760,"North Station","269","Reading",1380824400,0,,"On Time"
1380810760,"North Station","465","South Acton",1380826800,0,,"On Time"
1380810760,"North Station","223","Haverhill",1380826800,0,,"On Time"
1380810760,"North Station","325","Lowell",1380827400,0,,"On Time"
1380810760,"North Station","175","Newburyport",1380828000,0,,"On Time"
1380810760,"North Station","275","Reading",1380829800,0,,"On Time"
1380810760,"North Station","127","Rockport",1380830400,0,,"On Time"
1380810760,"South Station","709","Forge Park / 495",1380811800,0,,"On Time"
1380810760,"South Station","063","Plymouth",1380811800,0,,"On Time"
1380810760,"South Station","757","Readville",1380813600,0,,"On Time"
1380810760,"South Station","807","Wickford Junction",1380813600,0,,"On Time"
1380810760,"South Station","009","Middleboro/ Lakeville",1380815820,0,,"On Time"
1380810760,"South Station","613","Needham Heights",1380816000,0,,"On Time"
1380810760,"South Station","759","Readville",1380817200,0,,"On Time"
1380810760,"South Station","P513","Worcester / Union Station",1380817320,0,,"On Time"
1380810760,"South Station","065","Plymouth",1380817500,0,,"On Time"
1380810760,"South Station","077","Greenbush",1380818460,0,,"On Time"
1380810760,"South Station","711","Forge Park / 495",1380818700,0,,"On Time"
1380810760,"South Station","P515","Worcester / Union Station",1380820500,0,,"On Time"
1380810760,"South Station","761","Readville",1380820800,0,,"On Time"
1380810760,"South Station","913","Stoughton",1380820800,0,,"On Time"
